Koncert_ID,Koncert,Beskrivelse,Genre1,Genre2,Spillested,Dato,Tid,Doerene_aabner,Varighed,Antal,Pris,Billetgebyr,Pris_i_doer,Sal,Pladser,Billede
1,Tjajkovskij & Stravinskij,"Den Store Kærlighed
OM KONCERTEN
Tjajkovskijs gribende musik over Shakespeares Romeo & Julie rummer smukke og velkendte temaer og melodier.

Den danske stjernesanger Bo Boje Skovhus præsenterer denne aften Martins udtryks­stærke Sechs Monologe aus Jedermann. 

2. gæstedirigent, Hans Graf, tager igen liv­tag med Stravinskijs fabelagtige, rytmiske og farverige balletmusik fra årene med Den Russiske Ballet i Paris i 1910’erne. Ved denne koncert skal vi lytte til musikken fra Petrusjka, der fortæller om tre dukkers kær­lighed og jalousi. 

PROGRAM
Tjajkovskij: Romeo & Julie 
Martin: Sechs Monologe aus Jedermann 
Stravinskij: Petrusjka

Koncertintroduktion kl. 18.30 med Jan Mygind",Klassisk,,Musikkenshus,22/01/2021,19.30,18.30,2,–,(1) 275 (2) 230 (3) 205,ja,–,Koncertsalen,num. Siddepladser,tjaj.jpg
2,Mathias Heise,"Oplev den unge fremadstormende jazzstjerne Mathias Heise i en trio, der hylder mundharpekoryfæet Toots Thielemans i Musikkens Hus i Aalborg. Koncerten er en del af vores poplære fællesskab Musikkens Jazzklub.

OM KONCERTEN
Når man siger “kromatisk mundharpe”, er der øjeblikkeligt én stjerne, der tændes på jazzens nattehimmel og sender sit gyldne lys ned på navnet Toots Thielemans. Toots smeltede igennem sin lange karriere og liv fuldstændigt sammen med sit instrument – blev ét med sin klang – og har vist generationer af musikelskere, hvad det lille instrument er i stand til, når det handler om at tale lige ind i hjertekulen på os alle.

Til ære for deres store instrumentale forbillede, har Mathias Heise og hans tidligere lærer, multi-instrumentalist og entertainer Jacob Venndt skabt en mindekoncert.­­ Koncerten er et elegant, sprudlende og nærværende bombardement af suveræn teknik og musikalsk kunnen og byder på highlights fra hele Toots’ karriere. Med på piano har de Pojken Flensborg.

OM MATHIAS HEISE
Mathias har imed sin unge alder med , sine mange fornemme priser og flotte præstationer tiltrukket megen opmærksomhed omkring sit virtuose spil i både ind- og udland. Som 20-årig blev han i 2013 verdensmester i kromatisk mundharpe. I 2015 blev Mathias kåret som ‘Årets Nye Jazzstjerne’ i Danmark, og i 2016 modtog han ‘Kronprinsparrets Stjernedryspris’. I 2017 fik han den prestigefyldte ‘Ben Webster Prisen’ - som den yngste nogensinde - og her i 2019 er han nomineret til DMA Jazz i kategorien ‘Årets Danske Jazzudgivelse’ for sit album “The Beast” sammen med DR Big Band.

OM JACOB VENNDT
Multi-instrumentalisten Jacb Venndt er uddannet fra Det Jyske Musikkonservatoriums solistklasse med karakteren 12. Han er sponsoreret af det japanske mundharpefirma Suzuki og har med The Dixieland Gipsy Band spillet swingjazz i flere dele af verden og hele Danmark. Både som musiker og komponist har Venndt været en del af talrige teaterproduktioner. Han er desuden en gudsbenådet entertainer.

OM POJKEN FLENSBORG
Pojken begyndte at spille klaver som 6-årig, men musikken fik først for alvor overtaget, da han i 1997 blev optaget på Det Jyske Musikkonservatorium, hvorfra han afsluttede sin uddannelse i 2003. Han har været kapelmester, komponist og musiker på en lang række forestillinger og i et utal af jazzsammenhænge. Han har desuden udgivet over 10 plader i eget navn og medvirket på flere.

MUSIKKENS JAZZKLUB
Koncerten er en del af Musikkens Jazzklub efteråret 2020, hvor du får 30% rabat på fire inkluderede koncerter samt en række andre fordele.

INFORMATION TIL NORDJYSKE BILLETHAVERE
Myndighederne har til og med 3. december lavet kommunale nedlukninger i Hjørring, Frederikshavn, Brønderslev, Jammerbugt, Thisted, Vesthimmerland og Læsø.

Bor du i én af disse kommuner, og har du billetter til dette arrangement, tilbyder vi derfor at refundere dine billetter. Klik her for at læse mere.

Koncerten er blevet til med støtte fra Gudrun og Palle Mørchs Mindefond.",Jazz,,Musikkenshus,23/01/2021,20.00,–,"1,5",–,200,ja,–,Intimsalen,num. Siddepladser,math.jpg
3,Jonas Kaufmann,"Musikkens Hus er stolte over at kunne præsentere én af klassisk musiks allerstørste stemmer. Den tyske tenor Jonas Kaufmann gæster Aalborg den 29. november 2020, hvor han sammen med Aalborg Symfoniorkester vil give en helt særlig koncert.
FLERE BILLETHAVERE ER SAT PÅ VENTELISTE
For at reducere antallet af gæster har vi desværre været nødt til at annullere de senest købte billetter til koncerten. Disse gæster er sat på venteliste og vil blive tilbudt nye billetter, såfremt der bliver ledige pladser i salen.

For at skabe mest mulig plads er de resterende gæster desuden blevet omplaceret i salen. Disse gæster har fået tilsendt nye billetter af Ticketmaster, som bedes medbragt til koncerten.

Alle billethavere har fået besked om ændringerne via mail, og vi vil i den forbindelse gerne takke for jeres enorme forståelse i denne helt ekstraordinære tid.

Er du i tvivl om, hvordan du skal forholde dig, er du altid velkommen til at kontakte vores Billetkontor på info@musikkenshus.dk eller tlf. 60 20 3000.

Du kan også læse mere om ændringer i forbindelse med corona/COVID-19 her.

English:
Due to the ongoing corona/COVID-19 restrictions in Denmark, all concerts for the rest of the year are seated with a limited capacity. Unfortunately, we have had to cancel the most recent purchased tickets for the concert with Jonas Kaufmann in order to reduce the number of the guests in our Concert Hall. These ticket holders have been put on a waiting list and will be offered new tickets if seats become available.

In order to make sure that adequate distance is maintained between our guests, the remaining ticket holders have been reseated. They are going to receive new tickets from Ticketmaster. We kindly ask you to bring these new tickets with you to the concert.

All ticket holders have been notified about all these changes via e-mail. We would like to thank you for your enormous understanding. If you have any questions you are always welcome to contact our Ticket Office at info@musikkenshus.dk or give us a call on +45 60 20 30 00.

Please refer also to the website of the Danish National Police, which is updated regularly with the latest travel advice, including how to stay safe during the coronavirus (COVID-19) pandemic: coronasmitte.dk/en

OM KONCERTEN
Det bliver en musikalsk oplevelse af de helt store, når tenoren med det blændende smil og den uovertrufne teknik sammen med Aalborg Symfoniorkester giver koncert i Musikkens Hus.

Jonas Kaufmann har for længst erobret de internationale operascener (og tusindvis af kvindehjerter) med sin mørke, varme stemme. Han mestrer om nogen både det passionerede italienske repertoire og den mere lyriske tyske og franske operatradition.

Den internationale presse kalder ham ”tenorernes nye konge” – og med god grund. For ud over en usædvanlig spændvidde fra tenorens høje register til barytonens grundklang, er Jonas Kaufmann kendt for at levere sceneoptrædener af en sjælden intensitet. Der bliver altså nok at glæde sig til, når han går på scenen med Aalborg Symfoniorkester i Musikkens Hus med et flot program, der vil byde på velkendte melodier fra det klassiske repertoire.

OM JONAS KAUFMANN
Jonas Kaufmann, f. 1969, tysk tenor. Jonas Kaufmann er uddannet ved Hochschule für Musik i München 1994. Samme år blev han tilknyttet Staatstheater Saarbrücken, og fra 1996 fulgte talrige engagementer som opera- og koncertsanger i Tyskland og udlandet. I 2001 blev han fast tilknyttet Opernhaus Zürich, og i 2006 debuterede han på Metropolitan Opera i New York som Alfredo i Giuseppe Verdis La Traviata.

Blandt de cd'er, Jonas Kaufmann har indspillet, kan nævnes Richard Strauss Lieder (2006, Gramophone Awards 2007), den meget roste Sehnsucht (2009) med operaarier af Wolfgang Amadeus Mozart, Ludwig van Beethoven, Franz Schubert og Richard Wager efterfulgt af en indspilning af Schuberts Die schöne Müllerin (2009). 2013 udkom cd'en Wagner udelukkende med Kaufmanns Wagner-fortolkninger af partier fra Tannhäuser, Rienzi, Die Meistersänger, Die Walküre, Lohengrin, Siegfriedsamt de fem Wesendonck-Lieder under ledsagelse af Orchester der Deutschen Oper Berlin under ledelse af Donald Runnicles (f. 1954). 2014 udkom Jonas Kaufmanns og Helmut Deutschs fortolkning af Franz Schuberts lied-cyklus Winterreise.

INFORMATION TIL NORDJYSKE BILLETHAVERE
Myndighederne har til og med 3. december lavet kommunale nedlukninger i Hjørring, Frederikshavn, Brønderslev, Jammerbugt, Thisted, Vesthimmerland og Læsø.

Bor du i én af disse kommuner, og har du billetter til dette arrangement, tilbyder vi derfor at refundere dine billetter. Klik her for at læse mere.

Koncerten er blevet til med støtte fra Augustinus Fonden og Knud Højgaards Fond.",Klassisk,,Musikkenshus,29/01/2021,1930,–,"1,5",–,(1) 1100 (2) 900 (3) 700,ja,–,Koncertsalen,num. Siddepladser,jona.jpg
4,Oslo Gospel Choir,"I Musikkens Hus er det efterhånden blevet lidt af en tradition, at julen synges ind af Oslo Gospel Choir. Derfor lader vi igen i år julefreden sænke sig, mens du sætter dig til rette i Koncertsalens røde stole og lader den søde gospelmusik skylle ind over dig. For intet kan som gospelmusik bringe juleglæden helt ud i tåspidserne og smilet helt ud til ørerne.

Oslo Gospel Choir er ét af Europas allerbedste gospelkor og kunne i 2013 fejre 25 års jubilæum. Gennem årene har korets berusende, varme stemmehav medvirket på indspilninger med nationale og internationale artister. Blandt andet har de udgivet pladen ”Live” med Sissel Kyrkjebø og er med på Stig Rossens plade ”Julelys”. Oslo Gospel Choir danner skole inden for genren og tilsætter en helt unik skandinavisk sound og charme. Koret ledes stadig af Tore W. Aas, der også startede koret.

Kom og tag del i årets julekoncert med Oslo Gospel Choir.  

STJERNEREGN FRA ANMELDERNE
Anmelderne har udelukkende haft rosende ord og stjernedrys i pennen, når de tidligere har gengivet de udsolgte gospelkoncerter i Musikkens Hus for deres læsere.

”Her er dirrende, glødende julenostalgi, så det næsten driver ned ad væggene – aldrig på den klæbrige måde, men altid særdeles elegant og med et væld af små, kække stil- og stemningsskift.” - Nordjyske Stiftstidende, 2016 (seks stjerner) 

”Egentlig burde man kunne hælde den glød og livsenergi, der stråler ud af Oslo Gospel Choir, på flaske, så man kunne gå og nippe af den hele året rundt og ikke bare ved juletid.” - Nordjyske Stiftstidende, 2015 (seks stjerner)

”Overordnet set (eller hørt) forstår koret stadig – selv efter 26 år med skiftede besætning – at holde balancen mellem tradition og fornyelse, så man som tilhører aldrig helt kan vide sig sikker på, hvad man får i næste nummer. Udover at det vil være af høj kvalitet og båret af en meget høj musikalsk indlevelse. Og så trækker det bestemt ikke ned, at de smukke, stramt styrede stemmer lyder, som om de passer perfekt til noget, der forekommer at være ideelle lyd- og akustik-forhold i Musikkens Hus.” - Nordjyske Stiftstidende, 2014 (seks stjerner) 

”Der var både nordiske folketoner, sort amerikansk gospellyd og fællessang med Tore W. Aas i spidsen for det velklingende kor.” - Jyllands-Posten, 2014 (fem stjerner)
I Musikkens Hus er det efterhånden blevet lidt af en tradition, at julen synges ind af Oslo Gospel Choir. Derfor lader vi igen i år julefreden sænke sig, mens du sætter dig til rette i Koncertsalens røde stole og lader den søde gospelmusik skylle ind over dig. For intet kan som gospelmusik bringe juleglæden helt ud i tåspidserne og smilet helt ud til ørerne.

Oslo Gospel Choir er ét af Europas allerbedste gospelkor og kunne i 2013 fejre 25 års jubilæum. Gennem årene har korets berusende, varme stemmehav medvirket på indspilninger med nationale og internationale artister. Blandt andet har de udgivet pladen ”Live” med Sissel Kyrkjebø og er med på Stig Rossens plade ”Julelys”. Oslo Gospel Choir danner skole inden for genren og tilsætter en helt unik skandinavisk sound og charme. Koret ledes stadig af Tore W. Aas, der også startede koret.

Kom og tag del i årets julekoncert med Oslo Gospel Choir.  

STJERNEREGN FRA ANMELDERNE
Anmelderne har udelukkende haft rosende ord og stjernedrys i pennen, når de tidligere har gengivet de udsolgte gospelkoncerter i Musikkens Hus for deres læsere.

”Her er dirrende, glødende julenostalgi, så det næsten driver ned ad væggene – aldrig på den klæbrige måde, men altid særdeles elegant og med et væld af små, kække stil- og stemningsskift.” - Nordjyske Stiftstidende, 2016 (seks stjerner) 

”Egentlig burde man kunne hælde den glød og livsenergi, der stråler ud af Oslo Gospel Choir, på flaske, så man kunne gå og nippe af den hele året rundt og ikke bare ved juletid.” - Nordjyske Stiftstidende, 2015 (seks stjerner)

”Overordnet set (eller hørt) forstår koret stadig – selv efter 26 år med skiftede besætning – at holde balancen mellem tradition og fornyelse, så man som tilhører aldrig helt kan vide sig sikker på, hvad man får i næste nummer. Udover at det vil være af høj kvalitet og båret af en meget høj musikalsk indlevelse. Og så trækker det bestemt ikke ned, at de smukke, stramt styrede stemmer lyder, som om de passer perfekt til noget, der forekommer at være ideelle lyd- og akustik-forhold i Musikkens Hus.” - Nordjyske Stiftstidende, 2014 (seks stjerner) 

”Der var både nordiske folketoner, sort amerikansk gospellyd og fællessang med Tore W. Aas i spidsen for det velklingende kor.” - Jyllands-Posten, 2014 (fem stjerner)",Gospel,,Musikkenshus,12/02/2021,16.00,–,"1,5",–,(1) 350 (2) 300,ja,–,Koncertsalen,num. Siddepladser,oslo.jpg
5,Ginne Marker,"Ginne Marker var på plakaten, da Musikkens Hus i 2019 for første gang slog dørene op til indendørsfestivalen Musikkens Beat, hvor publikum præsenteres for morgendagens stjerner. Nu vender det aalborgensiske stjerneskud tilbage til Musikkens Hus for at give koncert i Intimsalen.
Det er uhyre sjældent at møde så rent og modent et talent som Ginne Marker. Den 25-årige sangerinde kan med sine smukke og originale sange, sit fremragende guitarspil og sin rørende stemme virkelig formidle store følelser på en lavmælt, underspillet og, ja, nordjysk facon.

Kald det pop, jazz-pop, singer-songwriter. Hendes musik favner det hele og har inderlighed og stærk historiefortælling som sin røde tråd.

Ginne Markers debutalbum, ’For Seasons to Come’, udkom i november 2019 og tæller allerede nu over 1 million streams.

Albummet, som er produceret af Aske Jacoby, har modtaget mange flotte anmeldelser – bl.a. 5 stjerner i GAFFA og 4 hjerter i Politiken. Bloggen JazzNyt har det på listen over ’Bedste Udgivelser 2019’, og det har været ’Ugens Album’ på P5.

I 2019 havde Bands of Tomorrow hendes optræden på SPOT festival i top-10, og hun fik roser for sin optræden på Copenhagen Jazz Festival og til DMA Jazz.

I 2020 har hun været rundt i hele landet som support for både Claus Hempler og Signe Svendsen.

“Når jeg lytter til ’For Seasons to Come’, er jeg ikke i tvivl om, at Ginne Marker allerede nu må være et flot møde på en scene med sin fine følelsesladning og sine imponerende varierede og alligevel ukunstlede fraseringer.” - Kim Skotte, Politiken (4/6 hjerter)

”Dét her – det er en af de bedste danske singer-songwriter-/vokaljazz-album-debuter i et årti!” - Ivan Rod, Gaffa (5/6 stjerner) 

”Ginne Markers evner som sanger, sangskriver og ikke mindst guitarist er ekstraordinære. Man sidder med en konstant fornemmelse af, at hun er meget bedre, end hun selv tror. Så underdrevet og samtidig vidunderligt er udtrykket. Én gang nordjyde altid nordjyde.” - Martin Loft, LoftsKammer (5/5 stjerner)",Jazz,Pop,Musikkenshus,12/02/2021,20.00,–,"1,15",–,170,ja,–,Intimsalen,Ståpladser,ginn.jpg
6,Alphabeat,"Glæd dig til en festaften i Nordjyllands smukkeste koncertsal, når Alphabeat bringer akustiske pophits til Musikkens Hus i Aalborg.
Alphabeat har prøvet næsten alt. De har hittet i udlandet, spillet på festivaler over hele Europa og gæstet stort set alle spillesteder i Danmark. Men én ting har de aldrig prøvet før – nemlig at spille i de store danske koncertsale for et siddende publikum. Det laver popbandet om på i starten af 2021, hvor hele 12 koncertsale i Danmark gæstes på turnéen ’12 Nights Of Thunder’. Musikkens Hus får fornøjelsen d. 5. februar.

”Vi glæder os helt vildt til at stå i de danske koncertsale. Vi har aldrig prøvet det før. Og det med at prøve noget nyt er i det hele taget noget vi har dyrket og opsøgt, siden vi fandt sammen igen. Det skaber en nødvendig spænding for os – som at stå på scenen sammen for allerførste gang,” fortæller forsanger Stine Bramsen, der sammen med Alphabeat senest har udgivet det yderst anmelderroste comeback-album 'Don’t Know What’s Cool Anymore'.

AKUSTISK POPFEST
Idéen til ’12 Nights Of Thunder’ opstod på Alphabeats fuldstændig udsolgte Danmarksturné i februar måned. Her havde bandet lavet en akustisk fortolkning af ’10.000 Nights Of Thunder’, hvor publikum og Anders SG endte med at synge store dele af sangen sammen acapella.

”Da vi spillede den akustiske udgave af ’10.000 Nights’ på sidste tour, oplevede vi, hvordan en af vores festsange pludselig fik et helt andet liv. Midt i en koncert fyldt med laserlys og røg opstod der en særlig fællesskabsfølelse mellem os og publikum – og det er den følelse, vi gerne vil afsøge yderligere. Vi skal helt ind under huden på folk, synge sammen og forhåbentlig ender vi med at danse på stolene,” fortæller Anders SG med et smil.",Pop,,Musikkenshus,05/02/2021,20.00,–,"1,15",–,405,ja,–,Koncertsalen,num. Siddepladser,alph.jpg
7,Lau Højen,"Glæd dig til at opleve Lau Højen i Intimsalen i Musikkens Hus, når Carpark North-stjernen for første gang går på scenen i eget navn og med egne danske sange.
Han skrev sin første sang helt tilbage i børnehaven. Siden greb han guitaren og mødte Søren Balsner og Morten Thorhauge på Mellerup Efterskole i 1997. Det blev begyndelsen på Carpark North, som igennem mere end 20 år har vokset sig til et af Danmarks største og mest indflydelsesrige rockbands.

Nu står Lau Højen – for første gang siden dengang i børnehaven – på helt egne ben med denne eksklusive solokoncert og nye sange på dansk.

”Jeg skrev sange som barn, om alt det jeg så, mærkede og oplevede i livet. Det var noget, der kom til mig meget intuitivt og frit, og det er noget, jeg kan mærke, jeg har brug for at få ud og kan gøre igen,” fortæller Lau Højen.

TOPPEN AF POPPEN BLEV STARTSKUDDET
Han skrev sin første sang på dansk, da han fortolkede Troels Gustavsen (NOAH) i musikprogrammet ’Toppen af Poppen’, og siden fulgte ’Håb’ og ’Glastårne’ fra Carpark Norths seneste album. Sange, som udsprang af hans mors kamp med kræft og hendes død juleaften 2016.

”Det var nødvendigt og vigtigt for mig at skrive de sange. Og pludselig kom der flere. En masse digte og ord, om min mor, min familie, mine venner og om mig selv – alt det nære og ligefremme,” forklarer Lau Højen om tilblivelsen af de nye sange.

IKKE ET FARVEL TIL CARPARK NORTH
Udgivelsen af egen musik er på ingen måde et farvel til Carpark North. Faktisk har både Morten Thorhauge og Søren Balsner, som begge har arbejdet med musik, produktion og sangskrivning ved siden af Carpark North, opfordret deres barndomsven og forsanger til, langt om længe, også at få sine sange ud.

Og det sker altså nu, når Lau Højen sætter lyd og melodi til sine danske tekster, der udkommer i løbet af efteråret 2020.

Hvordan Lau Højen lyder på egen hånd, vil tiden vise. Men allerede nu kan du glæde dig til at opleve ham live ved tre eksklusive solokoncerter i starten af det nye år. Den første bliver fredag d. 5. februar i Musikkens Hus’ stemningsfulde Intimsal.",Pop,,Musikkenshus,05/02/2021,20.00,–,"1,15",–,355,ja,–,Intimsalen,num. Siddepladser,lauh.jpg
8,Pro Musica: Intime Stemmer,"Kom tæt på orkestermusikerne i mindre besætninger eller som solister i værker, der står deres hjerter nær.
OM KONCERTEN
Pro Musica er en­sembler fra alle hjørner af Aalborg Symfoniorkester og enkelte gæstemusikere.

PROGRAM
Jack Heggie: The Deepest Desire for sang, fløjte og klaver
Poulenc: Sonate for fløjte og klaver
Brahms: To Lieder for sang, cello og klaver
Ravel: Chansons Madécasse for sang, fløjte, cello og klaver

MEDVIRKENDE
Camille Guenot, fløjte
Matthias Hehrmann, cello
Lise Christensen, sang
Olivera Marinkovich, klaver

Arrangør: Aalborg Symfoniorkester",Klassisk,,Musikkenshus,06/01/2021,14.00,–,1,–,120,ja,–,Øvre Foyer,unum. Siddepladser,prom.jpg
9,Jamie Cullum,"Den verdensberømte engelske jazz-, pop- og singer-songwriter Jamie Cullum har gæstet Musikkens Hus to gange tidligere, og nu vender den charmerende crooner tilbage for endnu en gang at tage Koncertsalen med storm.
Han er blot 40 år, men har alligevel opnået langt mere end de fleste internationale musikere når gennem deres karriere. Med over ti millioner solgte albums, to Golden Globes, en Grammy og en lang række andre internationale priser er Jamie Cullum ubestridt en af vor tids mest talentfulde musikere. 

Det er gennem jazzmusikken, at Jamie Cullum først etablerede sin karriere, men det er hans viden og kærlighed til al musik, der har hjulpet musikeren frem på den store verdensscene. Den karismatiske sanger og pianist har evnen og alsidigheden til at mikse genrer med sin unikke udnyttelse af jazz, pop og rock, og hans succes er global. 

Da Jamie Cullum i 2003 udgav gennembrudsalbummet “Twentysomething” med en blanding af jazz standards, kendte ballader og egne numre, blev han med et slag den bedst sælgende jazzartist i Storbritannien nogensinde. Siden har den succesfulde sangskriver turneret i hele verden fra Seuol Jazz Festival til International Jazz Day i Det Hvide Hus i Washington, startet sit eget succesfulde radioprogram og arbejdet med en stjerneparade af popnavne som Kylie Minogue, Pharrell Williams, Sugababes, will.i.am, Burt Bacharach, samt utallige symfoniorkestre og big bands. I dag har han rundet mere end ti millioner solgte plader på verdensplan.

Jamie Cullum er en moderne performer, der gladeligt kaster sig over musikken af Duke Ellington, Nina Simone og Cannonball Adderley side om side med piano-versioner af The White Stripes, Kanye West, Massive Attack, Pharrell, Rihanna, Jimi Hendrix, Radiohead, Elton John, Justin Timberlake, Joy Division og Lady Gaga.",Jazz,,Musikkenshus,06/02/2021,20.00,–,"1,5",–,(1) 500 (2) 400,ja,–,Koncertsalen,num. Siddepladser,jami.jpg
10,Hugo Helmig,"I kølvandet på det anmelderroste mini-album ’LULU VOL. 1’ udgiver Hugo Helmig nu ’Sooner or Later’ i samarbejde med Lukas Graham. I forbindelse med den nye sommersingle annoncerer Hugo Helmig stor turné i Danmark og Tyskland i foråret 2021, som bringer ham til Musikkens Hus i Aalborg.
Tilbage i marts måned udgav Hugo Helmig det anmelderroste mini-album ’LULU VOL. 1’, der viser en mere ærlig, mørk og skrøbelig sangskrivning end tidligere set. Albummet beskriver det seneste års hektiske begivenheder i Hugos liv. Bedst da han slikkede sårene oven på et stormfuldt 2019, fik han en håndsrækning fra en uventet kant. Han modtog en mail fra Danmarks største sanger Lukas Graham. I mailen lå skitsen til en ny sang, som Lukas syntes ville passe godt til Hugo.

”Jeg blev meget beæret over, at Lukas kontaktede mig. Jeg har fuldt ham, siden jeg som 13-årig så hans første koncert på Smukfest, og han er et af mine store musikalske forbilleder. Det var så vildt at være i studiet med ham, og vi klikkede heldigvis med det samme.”

På ’Sooner or Later’ vender Hugo Helmig tilbage til det guitardrevne popmusik, som han blev kendt for, da han entrerede musikscenen tilbage i 2017 med debutsinglen ’Please Don’t Lie’. Lukas Graham har ikke blot bidraget som sangskriver, men gæster ligeledes sangens omkvæd med sin velkendte vokal.

Hugo Helmig har netop udgivet musikvideo til den nye single, hvor både han, Lukas Graham samt producerne Emil Falk og Hennedub kan ses i studiet.

Igennem de seneste par år har Hugo Helmig slået igennem i både Danmark og Tyskland med singlerne ’Please Don’t Lie’, ’Wild’ og ’Young Like This’. Nu kan publikum glæde sig til at opleve Hugo Helmig og band live igen, når de gæster Musikkens Hus til foråret 2021.",Pop,,Musikkenshus,11/02/2021,20.00,–,"1,5",–,275,ja,–,Intimsalen,Ståpladser,hugo.jpg
